,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent gesture,Parent affective touch,Child prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
165,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,130.1
166,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,130.6
167,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,131.1
168,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,131.6
169,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,132.1
170,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,132.6
171,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,133.1
172,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,133.6
173,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,134.1
174,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,134.6
175,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,135.1
176,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,135.6
177,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,136.1
178,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,136.6
179,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,137.1
180,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,137.6
181,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,138.1
182,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,138.6
183,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,139.1
184,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,139.6
185,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,140.1
186,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,140.6
187,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,141.1
188,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,141.6
189,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,142.1
190,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,142.6
191,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,143.1
192,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,143.6
193,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,144.1
194,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,144.6
195,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,145.1
196,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,145.6
197,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,146.1
198,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,146.6
199,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,147.1
200,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,147.6
201,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,148.1
202,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,148.6
203,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,149.1
204,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,149.6
205,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,150.1
206,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,150.6
207,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,151.1
208,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,151.6
209,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,152.1
210,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,152.6
211,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,153.1
212,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,153.6
213,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,154.1
214,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,154.6
215,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,155.1
216,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,155.6
217,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,156.1
218,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,156.6
219,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,157.1
220,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,157.6
221,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,158.1
222,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,158.6
223,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,159.1
