,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,time
269,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,167.5
270,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,168.0
271,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,168.5
272,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,169.0
273,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,169.5
274,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,170.0
275,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,170.5
276,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,171.0
277,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,171.5
278,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,172.0
279,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,172.5
280,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,173.0
281,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,173.5
282,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,174.0
283,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,174.5
284,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,175.0
285,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,175.5
286,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,176.0
287,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,176.5
288,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,177.0
289,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,177.5
290,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,178.0
291,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,178.5
292,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,179.0
293,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,179.5
294,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,180.0
295,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,180.5
296,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,181.0
297,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,181.5
298,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,182.0
299,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,182.5
300,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,183.0
301,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,183.5
302,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,184.0
303,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,184.5
304,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,185.0
305,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,185.5
306,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,186.0
307,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,186.5
308,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,187.0
309,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,187.5
310,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,188.0
311,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,188.5
312,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,189.0
313,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,189.5
314,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,190.0
315,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,190.5
316,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,191.0
317,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,191.5
318,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,192.0
319,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,192.5
