,col base,action base,col count,action count,hist,bins
346,action,Child prop manipulation,action:sub_action,robot text:teach,[1],[1 2]
347,action,Child prop manipulation,action:sub_action,robot text:try again,[1],[1 2]
348,action,Child utterance,action,Child affect,[1],[1 2]
349,action,Child utterance,action,Child gaze,[1],[1 2]
350,action,Child utterance,action,Child gesture,[],[1]
351,action,Child utterance,action,Child prop manipulation,[],[1]
352,action,Child utterance,action,Conversational turns,[0 2],[1 2 3]
353,action,Child utterance,action,Joint attention,[1],[1 2]
354,action,Child utterance,action,Mutual gaze,[],[1]
355,action,Child utterance,action,Non-verbal scaffolding,[],[1]
356,action,Child utterance,action,Parent affect,[],[1]
357,action,Child utterance,action,Parent affective touch,[],[1]
358,action,Child utterance,action,Parent gaze,[0 1 1],[1 2 3 4]
359,action,Child utterance,action,Parent gesture,[],[1]
360,action,Child utterance,action,Parent prop manipulation,[1],[1 2]
361,action,Child utterance,action,Parent utterance,[0 3],[1 2 3]
362,action,Child utterance,action,Verbal scaffolding,[1],[1 2]
363,action,Child utterance,action,robot pointing,[],[1]
364,action,Child utterance,action,robot text,[3],[1 2]
365,action,Child utterance,sub_action,CP,[],[1]
366,action,Child utterance,sub_action,CPC,[],[1]
367,action,Child utterance,sub_action,MG,[],[1]
368,action,Child utterance,sub_action,PC,[1 1],[1 2 3]
369,action,Child utterance,sub_action,PCP,[1],[1 2]
370,action,Child utterance,sub_action,affective,[],[1]
371,action,Child utterance,sub_action,affective touch,[],[1]
372,action,Child utterance,sub_action,child,[0 1],[1 2 3]
373,action,Child utterance,sub_action,cognitive,[1],[1 2]
374,action,Child utterance,sub_action,correction,[1],[1 2]
375,action,Child utterance,sub_action,missing data,[],[1]
376,action,Child utterance,sub_action,other,[],[1]
377,action,Child utterance,sub_action,other vocalization,[1],[1 2]
378,action,Child utterance,sub_action,parent,[1],[1 2]
379,action,Child utterance,sub_action,pick up,[1],[1 2]
380,action,Child utterance,sub_action,point at prop,[],[1]
381,action,Child utterance,sub_action,positive 1,[1],[1 2]
382,action,Child utterance,sub_action,positive 2,[],[1]
383,action,Child utterance,sub_action,positive feedback,[],[1]
384,action,Child utterance,sub_action,props,[0 0 1],[1 2 3 4]
385,action,Child utterance,sub_action,put down,[1],[1 2]
386,action,Child utterance,sub_action,robot,[2],[1 2]
387,action,Child utterance,sub_action,song,[],[1]
388,action,Child utterance,sub_action,teach,[],[1]
389,action,Child utterance,sub_action,technical,[],[1]
390,action,Child utterance,sub_action,try again,[],[1]
391,action,Child utterance,sub_action,utterance,[1 2],[1 2 3]
392,action,Child utterance,action:sub_action,Child affect:positive 1,[1],[1 2]
393,action,Child utterance,action:sub_action,Child affect:positive 2,[],[1]
394,action,Child utterance,action:sub_action,Child gaze:missing data,[],[1]
395,action,Child utterance,action:sub_action,Child gaze:parent,[],[1]
396,action,Child utterance,action:sub_action,Child gaze:props,[1],[1 2]
397,action,Child utterance,action:sub_action,Child gaze:robot,[],[1]
398,action,Child utterance,action:sub_action,Child gesture:point at prop,[],[1]
399,action,Child utterance,action:sub_action,Child prop manipulation:child,[],[1]
400,action,Child utterance,action:sub_action,Child utterance:utterance,[],[1]
401,action,Child utterance,action:sub_action,Conversational turns:CP,[],[1]
402,action,Child utterance,action:sub_action,Conversational turns:CPC,[],[1]
403,action,Child utterance,action:sub_action,Conversational turns:PC,[1 1],[1 2 3]
404,action,Child utterance,action:sub_action,Conversational turns:PCP,[1],[1 2]
405,action,Child utterance,action:sub_action,Joint attention:missing data,[],[1]
406,action,Child utterance,action:sub_action,Joint attention:props,[1],[1 2]
407,action,Child utterance,action:sub_action,Joint attention:robot,[],[1]
408,action,Child utterance,action:sub_action,Mutual gaze:MG,[],[1]
409,action,Child utterance,action:sub_action,Non-verbal scaffolding:cognitive,[],[1]
410,action,Child utterance,action:sub_action,Non-verbal scaffolding:technical,[],[1]
411,action,Child utterance,action:sub_action,Parent affect:positive 1,[],[1]
412,action,Child utterance,action:sub_action,Parent affect:positive 2,[],[1]
413,action,Child utterance,action:sub_action,Parent affective touch:affective touch,[],[1]
414,action,Child utterance,action:sub_action,Parent gaze:child,[0 1],[1 2 3]
415,action,Child utterance,action:sub_action,Parent gaze:missing data,[],[1]
416,action,Child utterance,action:sub_action,Parent gaze:props,[1],[1 2]
417,action,Child utterance,action:sub_action,Parent gaze:robot,[2],[1 2]
418,action,Child utterance,action:sub_action,Parent gesture:point at prop,[],[1]
419,action,Child utterance,action:sub_action,Parent prop manipulation:parent,[1],[1 2]
420,action,Child utterance,action:sub_action,Parent utterance:missing data,[],[1]
421,action,Child utterance,action:sub_action,Parent utterance:other vocalization,[1],[1 2]
422,action,Child utterance,action:sub_action,Parent utterance:utterance,[1 2],[1 2 3]
